Date,TTOO
2024-08-01,5.03000020980835
2024-08-02,4.889999866485596
2024-08-05,4.46999979019165
2024-08-06,4.190000057220459
2024-08-07,4.0
2024-08-08,3.930000066757202
2024-08-09,3.890000104904175
2024-08-12,3.740000009536743
2024-08-13,3.7200000286102295
2024-08-14,3.6700000762939453
2024-08-15,3.555000066757202
2024-08-16,3.740000009536743
2024-08-19,3.690000057220459
2024-08-20,3.4800000190734863
2024-08-21,3.430000066757202
2024-08-22,3.5
2024-08-23,3.509999990463257
2024-08-26,3.509999990463257
2024-08-27,3.7200000286102295
2024-08-28,3.359999895095825
2024-08-29,3.4000000953674316
2024-08-30,3.190000057220459
2024-09-03,2.9200000762939453
2024-09-04,2.9100000858306885
2024-09-05,3.0899999141693115
2024-09-06,2.950000047683716
2024-09-09,2.680000066757202
2024-09-10,2.5
2024-09-11,2.299999952316284
2024-09-12,2.390000104904175
2024-09-13,2.5299999713897705
2024-09-16,2.309999942779541
2024-09-17,2.25
2024-09-18,2.1500000953674316
2024-09-19,2.200000047683716
2024-09-20,2.190000057220459
2024-09-23,2.059999942779541
2024-09-24,2.049999952316284
2024-09-25,2.009999990463257
2024-09-26,1.9800000190734863
2024-09-27,2.0
2024-09-30,1.9700000286102295
2024-10-01,1.8600000143051147
2024-10-02,1.8799999952316284
2024-10-03,1.8200000524520874
2024-10-04,1.8200000524520874
2024-10-07,1.6299999952316284
2024-10-08,1.5700000524520874
2024-10-09,1.6200000047683716
2024-10-10,1.5
2024-10-11,1.4800000190734863
2024-10-14,1.4700000286102295
2024-10-15,1.440000057220459
2024-10-16,1.399999976158142
2024-10-17,1.3600000143051147
2024-10-18,1.399999976158142
2024-10-21,1.4299999475479126
2024-10-22,1.5399999618530273
2024-10-23,1.440000057220459
2024-10-24,1.2599999904632568
2024-10-25,1.0800000429153442
2024-10-28,1.0499999523162842
2024-10-29,0.9679999947547913
2024-10-30,0.949999988079071
2024-10-31,0.8759999871253967
2024-11-01,0.8510000109672546
2024-11-04,0.800000011920929
2024-11-05,0.796999990940094
2024-11-06,0.6800000071525574
2024-11-07,0.7120000123977661
2024-11-08,0.5799999833106995
2024-11-11,0.593999981880188
2024-11-12,0.5239999890327454
2024-11-13,0.5479999780654907
2024-11-14,0.5199999809265137
2024-11-15,0.4970000088214874
2024-11-18,0.5099999904632568
2024-11-19,0.4830000102519989
2024-11-20,0.4620000123977661
2024-11-21,0.4259999990463257
