Date,J
2024-03-19,125.12113952636719
2024-03-20,125.82289123535156
2024-03-21,126.49958038330078
2024-03-22,125.33834838867188
2024-03-25,125.38011932373047
2024-03-26,125.63074493408203
2024-03-27,127.76107025146484
2024-03-28,128.42941284179688
2024-04-01,126.34085083007812
2024-04-02,125.07101440429688
2024-04-03,125.20468139648438
2024-04-04,124.59481811523438
2024-04-05,123.57560729980469
2024-04-08,122.07184600830078
2024-04-09,122.5730972290039
2024-04-10,120.58479309082031
2024-04-11,121.87969970703125
2024-04-12,120.8437728881836
2024-04-15,120.28404235839844
2024-04-16,121.11946868896484
2024-04-17,119.44026947021484
2024-04-18,119.88304138183594
2024-04-19,120.15872955322266
2024-04-22,120.39264678955078
2024-04-23,120.82706451416016
2024-04-24,120.28404235839844
2024-04-25,120.45112609863281
2024-04-26,121.06098937988281
2024-04-29,121.84628295898438
2024-04-30,119.9081039428711
2024-05-01,119.62406158447266
2024-05-02,121.07769775390625
2024-05-03,123.72598266601562
2024-05-06,124.54469299316406
2024-05-07,118.32915496826172
2024-05-08,115.71428680419922
2024-05-09,116.78362274169922
2024-05-10,116.32414245605469
2024-05-13,115.55555725097656
2024-05-14,115.17961883544922
2024-05-15,115.04594421386719
2024-05-16,115.0793685913086
2024-05-17,113.9849624633789
2024-05-20,114.36090087890625
2024-05-21,115.94820404052734
2024-05-22,115.17961883544922
2024-05-23,115.72264099121094
2024-05-24,117.37677764892578
2024-05-28,114.87886047363281
2024-05-29,112.04678344726562
2024-05-30,114.76190185546875
2024-05-31,116.40768432617188
2024-06-03,115.27151489257812
2024-06-04,115.80618286132812
2024-06-05,115.53884887695312
2024-06-06,115.53884887695312
2024-06-07,116.17376708984375
2024-06-10,116.97577667236328
2024-06-11,116.53299713134766
2024-06-12,116.80868530273438
2024-06-13,116.2823715209961
2024-06-14,115.45530700683594
2024-06-17,117.57727813720703
2024-06-18,117.79448699951172
2024-06-20,117.95321655273438
2024-06-21,117.76107025146484
2024-06-24,118.70509338378906
2024-06-25,116.90058135986328
2024-06-26,116.18212127685547
2024-06-27,116.49958038330078
2024-06-28,116.71678924560547
2024-07-01,115.53884887695312
2024-07-02,115.09607696533203
2024-07-03,115.69757843017578
2024-07-05,114.23558807373047
2024-07-08,115.0041732788086
