Date,SMTC
2022-11-25,29.610000610351562
2022-11-28,29.139999389648438
2022-11-29,29.309999465942383
2022-11-30,30.739999771118164
2022-12-01,29.81999969482422
2022-12-02,29.360000610351562
2022-12-05,29.479999542236328
2022-12-06,28.6200008392334
2022-12-07,28.690000534057617
2022-12-08,29.18000030517578
2022-12-09,29.329999923706055
2022-12-12,29.979999542236328
2022-12-13,30.5
2022-12-14,29.56999969482422
2022-12-15,28.3799991607666
2022-12-16,27.700000762939453
2022-12-19,26.8700008392334
2022-12-20,27.100000381469727
2022-12-21,27.600000381469727
2022-12-22,27.020000457763672
2022-12-23,27.469999313354492
2022-12-27,27.5
2022-12-28,27.399999618530273
2022-12-29,28.6200008392334
2022-12-30,28.690000534057617
2023-01-03,28.940000534057617
2023-01-04,29.239999771118164
